Area,Item_x,Year,Unit_x,Crop_Yield,Item_y,Unit_y,Pesticides_Usage,Avg_Temperature,Avg_Rainfall
Albania,Maize,1990,hg/ha,2333,Pesticides (total),tonnes of active ingredients,121,16.37,1485
Albania,Maize,1991,hg/ha,2333,Pesticides (total),tonnes of active ingredients,121,15.36,1485
Albania,Maize,1992,hg/ha,2333,Pesticides (total),tonnes of active ingredients,121,16.06,1485
Albania,Maize,1993,hg/ha,2333,Pesticides (total),tonnes of active ingredients,121,16.05,1485
Albania,Maize,1994,hg/ha,2333,Pesticides (total),tonnes of active ingredients,201,16.96,1485
Albania,Maize,1995,hg/ha,2333,Pesticides (total),tonnes of active ingredients,251,15.67,1485
Albania,Maize,1996,hg/ha,2333,Pesticides (total),tonnes of active ingredients,313.96,15.64,1485
Albania,Maize,1997,hg/ha,2333,Pesticides (total),tonnes of active ingredients,376.93,15.9,1485
Albania,Maize,1998,hg/ha,2333,Pesticides (total),tonnes of active ingredients,439.89,16.27,1485
Albania,Maize,1999,hg/ha,2333,Pesticides (total),tonnes of active ingredients,502.86,16.57,1485
Albania,Maize,2000,hg/ha,2333,Pesticides (total),tonnes of active ingredients,565.82,16.67,1485
Albania,Maize,2001,hg/ha,2338,Pesticides (total),tonnes of active ingredients,628.79,16.59,1485
Albania,Maize,2002,hg/ha,2342,Pesticides (total),tonnes of active ingredients,691.75,16.47,1485
Albania,Maize,2004,hg/ha,2353,Pesticides (total),tonnes of active ingredients,817.68,16.16,1485
Albania,Maize,2005,hg/ha,2358,Pesticides (total),tonnes of active ingredients,880.64,15.67,1485
Albania,Maize,2006,hg/ha,2358,Pesticides (total),tonnes of active ingredients,943.61,15.92,1485
Albania,Maize,2007,hg/ha,2358,Pesticides (total),tonnes of active ingredients,1006.57,16.67,1485
Albania,Maize,2008,hg/ha,2360,Pesticides (total),tonnes of active ingredients,1069.54,16.71,1485
Albania,Maize,2009,hg/ha,2380,Pesticides (total),tonnes of active ingredients,1132.5,16.73,1485
Albania,Maize,2010,hg/ha,2382,Pesticides (total),tonnes of active ingredients,1311.17,16.52,1485
Albania,Maize,2011,hg/ha,2384,Pesticides (total),tonnes of active ingredients,1302.63,16.45,1485
Albania,Maize,2012,hg/ha,2399,Pesticides (total),tonnes of active ingredients,766.25,16.7,1485
Albania,Maize,2013,hg/ha,2400,Pesticides (total),tonnes of active ingredients,982.32,17.41,1485
Albania,Potatoes,1990,hg/ha,2500,Pesticides (total),tonnes of active ingredients,121,16.37,1485
Albania,Potatoes,1991,hg/ha,2503,Pesticides (total),tonnes of active ingredients,121,15.36,1485
Albania,Potatoes,1992,hg/ha,2503,Pesticides (total),tonnes of active ingredients,121,16.06,1485
Albania,Potatoes,1993,hg/ha,2511,Pesticides (total),tonnes of active ingredients,121,16.05,1485
Albania,Potatoes,1994,hg/ha,2519,Pesticides (total),tonnes of active ingredients,201,16.96,1485
Albania,Potatoes,1995,hg/ha,2529,Pesticides (total),tonnes of active ingredients,251,15.67,1485
Albania,Potatoes,1996,hg/ha,2540,Pesticides (total),tonnes of active ingredients,313.96,15.64,1485
Albania,Potatoes,1997,hg/ha,2548,Pesticides (total),tonnes of active ingredients,376.93,15.9,1485
Albania,Potatoes,1998,hg/ha,2551,Pesticides (total),tonnes of active ingredients,439.89,16.27,1485
Albania,Potatoes,1999,hg/ha,2552,Pesticides (total),tonnes of active ingredients,502.86,16.57,1485
Albania,Potatoes,2000,hg/ha,2553,Pesticides (total),tonnes of active ingredients,565.82,16.67,1485
Albania,Potatoes,2001,hg/ha,2577,Pesticides (total),tonnes of active ingredients,628.79,16.59,1485
Albania,Potatoes,2002,hg/ha,2600,Pesticides (total),tonnes of active ingredients,691.75,16.47,1485
Albania,Potatoes,2004,hg/ha,2606,Pesticides (total),tonnes of active ingredients,817.68,16.16,1485
Albania,Potatoes,2005,hg/ha,2608,Pesticides (total),tonnes of active ingredients,880.64,15.67,1485
Albania,Potatoes,2006,hg/ha,2608,Pesticides (total),tonnes of active ingredients,943.61,15.92,1485
Albania,Potatoes,2007,hg/ha,2611,Pesticides (total),tonnes of active ingredients,1006.57,16.67,1485
Albania,Potatoes,2008,hg/ha,2612,Pesticides (total),tonnes of active ingredients,1069.54,16.71,1485
Albania,Potatoes,2009,hg/ha,2627,Pesticides (total),tonnes of active ingredients,1132.5,16.73,1485
